Dataset,Model,Attack,K-Ratio,Dynamic,Iteration,Accuracy,ASR,L0,Sparsity,L2,Linf,SSIM,PSNR,LPIPS,Time(s),NumSamples
cifar10,Standard,Clean,0.0,False,0,0.9479999947547912,0.0,0.0,1.0,0.0,0.0,1.0,inf,0.0,0.0,1000
cifar10,Standard,FGSM,0.0,False,1,0.3049999988079071,0.6793248664100462,1020.8990029296875,0.0030283174514770506,1.7240465965270997,0.03137257695198059,0.9379879274368286,30.141071090698244,0.003281063275411725,0.6653635501861572,1000
cifar10,Standard,PGD,0.0,False,1,0.3029999985694885,0.6803797345121199,1023.089005859375,0.0008896427154541015,1.0423979654312134,0.03137257695198059,0.9742633609771728,34.51113653564453,0.0007947144485078752,12.856448888778687,1000
cifar10,Standard,PGD,0.0,False,3,0.02399999998509884,0.9746835052589827,1022.850998046875,0.0011220722198486328,1.1132769775390625,0.03137257695198059,0.9715980105400085,33.9394892578125,0.000980871798004955,12.856448888778687,1000
cifar10,Standard,PGD,0.0,False,5,0.002,0.9978902382689689,1022.728,0.0012421875,1.1687763776779174,0.03137257695198059,0.9695626230239868,33.51569689941406,0.0011605391753837465,12.856448888778687,1000
cifar10,Standard,PGD,0.0,False,7,0.0,0.9999999403953552,1022.6009985351562,0.0013662123680114747,1.2083224534988404,0.03137257695198059,0.9680692801475524,33.225630096435545,0.0013097537830471992,12.856448888778687,1000
cifar10,Standard,PGD,0.0,False,10,0.0,0.9999999403953552,1022.5659970703125,0.0014003934860229493,1.247556481361389,0.03137257695198059,0.966546567440033,32.94712860107422,0.0014834834253415466,12.856448888778687,1000
cifar10,Standard,SparseFool,0.0,False,20,0.5750000028610229,0.3934599013393941,11.873000030517579,0.9884052734076977,1.7616317071914673,0.7503019189834594,0.9614607005119323,29.12050782775879,0.007402259513735771,241.7754135131836,1000
cifar10,Standard,Sparse-PGD,0.1,False,10,0.04899999952316284,0.9483121964876159,347.0269985351562,0.6611064467430114,0.6862905173301697,0.03137257695198059,0.9912906484603882,38.044168273925784,0.00035156713682226836,13.920386791229248,1000
cifar10,Standard,GreedyFool,0.1,False,10,0.047999999850988385,0.9493670402574137,365.4599985351563,0.6431054701805115,0.5387446222305298,0.031372570365667346,0.9912588005065918,40.201838684082034,0.0003582340732682496,13.27897834777832,1000
cifar10,Standard,Sparse-PGD,0.2,False,10,0.01299999999627471,0.9862868733043912,511.0529995117187,0.5009248051643371,0.7920889101028442,0.03137257695198059,0.9871431121826172,36.880815673828124,0.0005225091129541397,13.976855039596558,1000
