Model,Defense,Clean Acc,PGD Direct Acc,PGD Direct ASR,Sparse Direct Acc,Sparse Direct ASR,PGD Transfer Acc,PGD Transfer ASR,Sparse Transfer Acc,Sparse Transfer ASR
Standard ResNet-18,No Defense,0.109375,0.109375,0.0,0.109375,0.0,0.109375,0.0,0.109375,0.0
Standard ResNet-18,Median Filter (3x3),0.109375,0.109375,0.0,0.109375,0.0,0.109375,0.0,0.109375,0.0
Standard ResNet-18,Bit Reduction (3-bit),0.109375,0.109375,0.0,0.109375,0.0,0.109375,0.0,0.109375,0.0
Standard ResNet-18,JPEG Compression (Q75),0.109375,0.109375,0.0,0.109375,0.0,0.109375,0.0,0.109375,0.0
Standard ResNet-18,Random Noise (std=0.02),0.109375,0.109375,0.0,0.109375,0.0,0.109375,0.0,0.109375,0.0
Standard ResNet-18,"Randomized Smoothing (std=0.12, N=100)",0.109375,0.109375,0.0,0.109375,0.0,0.109375,0.0,0.109375,0.0
Standard ResNet-18,Feature Denoising (3x3 hooks),0.109375,0.109375,0.0,0.109375,0.0,0.109375,0.0,0.109375,0.0
Robust ResNet-18 (AT),No Defense,0.15625,0.15625,0.0,0.15625,0.0,0.15625,0.0,0.15625,0.0
Robust ResNet-18 (AT),Median Filter (3x3),0.125,0.140625,0.30000001192092896,0.125,0.4000000059604645,0.140625,0.30000001192092896,0.125,0.4000000059604645
Robust ResNet-18 (AT),Bit Reduction (3-bit),0.15625,0.15625,0.0,0.15625,0.0,0.15625,0.0,0.15625,0.0
Robust ResNet-18 (AT),JPEG Compression (Q75),0.15625,0.15625,0.0,0.15625,0.0,0.15625,0.0,0.15625,0.0
Robust ResNet-18 (AT),Random Noise (std=0.02),0.15625,0.15625,0.0,0.15625,0.0,0.15625,0.0,0.15625,0.0
Robust ResNet-18 (AT),"Randomized Smoothing (std=0.12, N=100)",0.15625,0.15625,0.0,0.15625,0.0,0.15625,0.0,0.15625,0.0
Robust ResNet-18 (AT),Feature Denoising (3x3 hooks),0.15625,0.15625,0.0,0.15625,0.0,0.15625,0.0,0.15625,0.0
TRADES robust model,No Defense,0.15625,0.171875,0.0,0.15625,0.0,0.15625,0.0,0.171875,0.0
TRADES robust model,Median Filter (3x3),0.09375,0.078125,0.800000011920929,0.09375,0.800000011920929,0.09375,0.800000011920929,0.09375,0.800000011920929
TRADES robust model,Bit Reduction (3-bit),0.15625,0.171875,0.0,0.171875,0.0,0.15625,0.0,0.171875,0.0
TRADES robust model,JPEG Compression (Q75),0.15625,0.15625,0.0,0.15625,0.0,0.15625,0.0,0.15625,0.0
TRADES robust model,Random Noise (std=0.02),0.15625,0.171875,0.0,0.171875,0.0,0.15625,0.0,0.171875,0.0
TRADES robust model,"Randomized Smoothing (std=0.12, N=100)",0.15625,0.15625,0.0,0.15625,0.0,0.15625,0.0,0.15625,0.0
TRADES robust model,Feature Denoising (3x3 hooks),0.15625,0.171875,0.0,0.15625,0.0,0.15625,0.0,0.171875,0.0
GG-SAT ResNet-18 (GG-SAT),No Defense,0.140625,0.125,0.2222222238779068,0.125,0.2222222238779068,0.125,0.1111111119389534,0.125,0.1111111119389534
GG-SAT ResNet-18 (GG-SAT),Median Filter (3x3),0.09375,0.109375,0.3333333432674408,0.09375,0.4444444477558136,0.109375,0.2222222238779068,0.09375,0.3333333432674408
GG-SAT ResNet-18 (GG-SAT),Bit Reduction (3-bit),0.140625,0.125,0.2222222238779068,0.125,0.2222222238779068,0.125,0.1111111119389534,0.140625,0.0
GG-SAT ResNet-18 (GG-SAT),JPEG Compression (Q75),0.046875,0.109375,0.2222222238779068,0.140625,0.1111111119389534,0.078125,0.4444444477558136,0.03125,0.7777777910232544
GG-SAT ResNet-18 (GG-SAT),Random Noise (std=0.02),0.140625,0.125,0.2222222238779068,0.125,0.2222222238779068,0.140625,0.0,0.125,0.1111111119389534
GG-SAT ResNet-18 (GG-SAT),"Randomized Smoothing (std=0.12, N=100)",0.140625,0.125,0.2222222238779068,0.109375,0.3333333432674408,0.125,0.1111111119389534,0.125,0.1111111119389534
GG-SAT ResNet-18 (GG-SAT),Feature Denoising (3x3 hooks),0.109375,0.109375,0.2222222238779068,0.09375,0.3333333432674408,0.109375,0.2222222238779068,0.109375,0.2222222238779068
