Dataset,Model,Attack,K-Ratio,Dynamic,Iteration,Accuracy,ASR,L0,Sparsity,L2,Linf,SSIM,PSNR,LPIPS,Time(s)
cifar10,Robust,Clean,0.0,False,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,inf,0.0,9.5367431640625e-07
cifar10,Robust,FGSM,0.0,False,1,0.6000000238418579,0.4000000059604645,1024.0,0.0,1.735865831375122,0.03137257695198059,0.9572948813438416,30.0838680267334,0.0054336306639015675,0.15964078903198242
cifar10,Robust,PGD,0.0,False,1,0.800000011920929,0.20000000298023224,1024.0,0.0,1.0420124530792236,0.03137257695198059,0.9791101813316345,34.51577377319336,0.0010413842974230647,0.02361440658569336
cifar10,Robust,PGD,0.0,False,2,0.800000011920929,0.20000000298023224,1024.0,0.0,1.1314157247543335,0.03137257695198059,0.9772721529006958,33.80028533935547,0.0017965134466066957,0.4418601989746094
cifar10,Robust,PGD,0.0,False,3,0.800000011920929,0.20000000298023224,1024.0,0.0,1.2375144958496094,0.03137257695198059,0.9750169515609741,33.021766662597656,0.0027064266614615917,0.8439173698425293
cifar10,Robust,PGD,0.0,False,4,0.699999988079071,0.30000001192092896,1024.0,0.0,1.341803789138794,0.03137257695198059,0.972877025604248,32.318695068359375,0.0036708705592900515,1.2355225086212158
cifar10,Robust,PGD,0.0,False,5,0.699999988079071,0.30000001192092896,1023.9000244140625,9.763240814208984e-05,1.437482476234436,0.03137257695198059,0.9707484245300293,31.72031021118164,0.004625948145985603,1.6349241733551025
cifar10,Robust,PGD,0.0,False,6,0.6000000238418579,0.4000000059604645,1024.0,0.0,1.514170527458191,0.03137257695198059,0.9688481688499451,31.268884658813477,0.005366067867726088,2.0271060466766357
cifar10,Robust,PGD,0.0,False,7,0.6000000238418579,0.4000000059604645,1024.0,0.0,1.5704023838043213,0.03137257695198059,0.9672669768333435,30.952449798583984,0.005851196125149727,2.417630672454834
cifar10,Robust,PGD,0.0,False,8,0.5,0.5,1023.9000244140625,9.763240814208984e-05,1.5981634855270386,0.03137257695198059,0.9665155410766602,30.800687789916992,0.006097276229411364,2.8091328144073486
cifar10,Robust,PGD,0.0,False,9,0.5,0.5,1023.9000244140625,9.763240814208984e-05,1.6117900609970093,0.03137257695198059,0.9660565853118896,30.727252960205078,0.006255680229514837,3.2021076679229736
cifar10,Robust,PGD,0.0,False,10,0.5,0.5,1023.9000244140625,9.763240814208984e-05,1.6241735219955444,0.03137257695198059,0.9655820727348328,30.66086769104004,0.006354480981826782,3.59832501411438
cifar10,Robust,SparseFool,0.0,False,20,0.699999988079071,0.30000001192092896,11.90000057220459,0.9883789056912065,1.8011140823364258,0.7105882167816162,0.9747552871704102,29.546817779541016,0.003945611417293549,0.4094407558441162
cifar10,Robust,Sparse-PGD,0.1,False,10,0.6000000238418579,0.4000000059604645,784.7000122070312,0.23369139432907104,1.215122103691101,0.03137257695198059,0.9777515530586243,32.867950439453125,0.0036083750892430544,0.04870152473449707
cifar10,Robust,GreedyFool,0.1,False,10,0.699999988079071,0.30000001192092896,168.8000030517578,0.8351562470197678,0.5984089374542236,0.03137257695198059,0.9952312707901001,39.3324089050293,0.0011120318667963147,0.023621320724487305
cifar10,Robust,Proposed-TopkPGD,0.1,True,1,0.9000000357627869,0.10000000149011612,102.0,0.900390625,0.13719886541366577,0.007843161933124065,0.9997414946556091,52.127197265625,5.934000000706874e-05,0.02384805679321289
cifar10,Robust,Proposed-TopkPGD,0.1,True,2,0.9000000357627869,0.10000000149011612,102.5,0.89990234375,0.25904878973960876,0.01568629965186119,0.9990841150283813,46.60577392578125,0.00019958708435297012,0.41625118255615234
cifar10,Robust,Proposed-TopkPGD,0.1,True,3,0.800000011920929,0.20000000298023224,112.30000305175781,0.8903320282697678,0.37830308079719543,0.02352944016456604,0.9980848431587219,43.315895080566406,0.000406006962293759,0.8097131252288818
