Dataset,Model,Attack,K-Ratio,Dynamic,Iteration,Accuracy,ASR,L0,Sparsity,L2,Linf,SSIM,PSNR,LPIPS,Time(s)
cifar10,Standard,Clean,0.0,False,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,inf,0.0,0.0
cifar10,Standard,FGSM,0.0,False,1,0.4000000059604645,0.6000000238418579,1024.0,0.0,1.7342891693115234,0.03137257695198059,0.9450708627700806,30.09170913696289,0.0021261286456137896,1.0833570957183838
cifar10,Standard,PGD,0.0,False,1,0.30000001192092896,0.699999988079071,1024.0,0.0,1.0480092763900757,0.03137257695198059,0.9780392646789551,34.46630859375,0.000630087626632303,0.6493051052093506
cifar10,Standard,PGD,0.0,False,2,0.10000000149011612,0.8999999761581421,1024.0,0.0,1.0832780599594116,0.03137257695198059,0.9767270684242249,34.178531646728516,0.0006357628735713661,0.7938940525054932
cifar10,Standard,PGD,0.0,False,3,0.0,1.0,1024.0,0.0,1.118185043334961,0.03137257695198059,0.9755445718765259,33.902217864990234,0.0007296695257537067,0.8371350765228271
cifar10,Standard,PGD,0.0,False,4,0.0,1.0,1024.0,0.0,1.1445972919464111,0.03137257695198059,0.9747468829154968,33.69834518432617,0.0008153039962053299,0.8805360794067383
cifar10,Standard,PGD,0.0,False,5,0.0,1.0,1024.0,0.0,1.165938138961792,0.03137257695198059,0.9738633632659912,33.53713607788086,0.0008646181668154895,0.9237749576568604
cifar10,Standard,PGD,0.0,False,6,0.0,1.0,1024.0,0.0,1.1798774003982544,0.03137257695198059,0.9735968708992004,33.43254852294922,0.0008916230872273445,0.9681370258331299
cifar10,Standard,PGD,0.0,False,7,0.0,1.0,1024.0,0.0,1.2011455297470093,0.03137257695198059,0.9726129770278931,33.27881622314453,0.000966855906881392,1.010565996170044
cifar10,Standard,PGD,0.0,False,8,0.0,1.0,1024.0,0.0,1.2113125324249268,0.03137257695198059,0.9723160266876221,33.20435333251953,0.0010119478683918715,1.0524940490722656
cifar10,Standard,PGD,0.0,False,9,0.0,1.0,1024.0,0.0,1.2269576787948608,0.03137257695198059,0.9718847274780273,33.09439468383789,0.001069632708095014,1.0960419178009033
cifar10,Standard,PGD,0.0,False,10,0.0,1.0,1023.9000244140625,9.763240814208984e-05,1.2383167743682861,0.03137257695198059,0.9713565111160278,33.0128173828125,0.0010647282470017672,1.1391651630401611
cifar10,Standard,SparseFool,0.0,False,20,0.699999988079071,0.30000001192092896,10.600000381469727,0.989648437127471,1.797037124633789,0.7870588302612305,0.965693473815918,29.417238235473633,0.0030841517727822065,3.309191942214966
